100,7
200,7
300,10
400,10
500,9
600,11
700,12
800,10
900,10
1000,13
1100,13
1200,10
1300,12
1400,11
1500,12
1600,12
1700,12
1800,13
1900,11
2000,14
2100,12
2200,12
2300,11
2400,14
2500,14
2600,12
2700,13
2800,12
2900,13
3000,14
3100,13
3200,13
3300,14
3400,12
3500,13
3600,14
3700,14
3800,13
3900,13
4000,14
4100,15
4200,13
4300,14
4400,15
4500,13
4600,14
4700,13
4800,13
4900,11
5000,14
5100,13
5200,15
5300,13
5400,14
5500,12
5600,13
5700,14
5800,13
5900,15
6000,12
6100,15
6200,15
6300,14
6400,14
6500,14
6600,14
6700,12
6800,15
6900,13
7000,15
7100,16
7200,15
7300,15
7400,13
7500,13
7600,13
7700,15
7800,15
7900,15
8000,14
8100,18
8200,13
8300,14
8400,15
8500,14
8600,13
8700,16
8800,15
8900,15
9000,15
9100,14
9200,15
9300,12
9400,15
9500,13
9600,16
9700,16
9800,18
9900,17
10000,13
10100,16
10200,13
10300,15
10400,15
10500,15
10600,15
10700,16
10800,14
10900,15
11000,13
11100,15
11200,14
11300,17
11400,14
11500,14
11600,15
11700,13
11800,16
11900,16
12000,17
12100,14
12200,16
12300,16
12400,14
12500,18
12600,16
12700,14
12800,14
12900,17
13000,15
13100,14
13200,14
13300,18
13400,17
13500,15
13600,15
13700,15
13800,14
13900,17
14000,15
14100,16
14200,15
14300,14
14400,14
14500,15
14600,13
14700,17
14800,16
14900,17
15000,16
15100,15
15200,17
15300,15
15400,15
15500,17
15600,15
15700,15
15800,16
15900,17
16000,15
16100,16
16200,18
16300,17
16400,15
16500,15
16600,15
16700,15
16800,14
16900,16
17000,15
17100,15
17200,15
17300,15
17400,16
17500,14
17600,16
17700,16
17800,17
17900,15
18000,16
18100,16
18200,17
18300,16
18400,14
18500,16
18600,15
18700,15
18800,17
18900,17
19000,16
19100,17
19200,14
19300,14
19400,16
19500,13
19600,17
19700,17
19800,15
19900,14
20000,15
20100,14
20200,14
20300,18
20400,16
20500,16
20600,16
20700,17
20800,16
20900,14
21000,14
21100,16
21200,17
21300,15
21400,16
21500,14
21600,18
21700,18
21800,15
21900,16
22000,16
22100,16
22200,15
22300,16
22400,15
22500,15
22600,16
22700,17
22800,16
22900,15
23000,15
23100,15
23200,14
23300,15
23400,15
23500,14
23600,19
23700,16
23800,16
23900,15
24000,15
24100,15
24200,16
24300,18
24400,16
24500,18
24600,17
24700,16
24800,15
24900,18
25000,16
25100,14
25200,15
25300,16
25400,17
25500,16
25600,18
25700,15
25800,17
25900,14
26000,17
26100,18
26200,17
26300,17
26400,16
26500,19
26600,17
26700,14
26800,16
26900,15
27000,14
27100,17
27200,17
27300,17
27400,16
27500,17
27600,16
27700,15
27800,17
27900,15
28000,17
28100,18
28200,18
28300,16
28400,16
28500,15
28600,15
28700,15
28800,17
28900,16
29000,18
29100,18
29200,16
29300,20
29400,16
29500,17
29600,15
29700,19
29800,17
29900,20
30000,16
30100,18
30200,18
30300,16
30400,16
30500,17
30600,14
30700,17
30800,17
30900,15
31000,16
31100,15
31200,16
31300,17
31400,16
31500,17
31600,15
31700,17
31800,20
31900,16
32000,16
32100,14
32200,17
32300,15
32400,18
32500,15
32600,18
32700,15
32800,13
32900,16
33000,14
33100,17
33200,16
33300,17
33400,21
33500,16
33600,15
33700,17
33800,15
33900,14
34000,19
34100,20
34200,18
34300,18
34400,17
34500,16
34600,18
34700,17
34800,19
34900,18
35000,16
35100,16
35200,18
35300,15
35400,17
35500,18
35600,18
35700,14
35800,15
35900,19
36000,16
36100,17
36200,17
36300,17
36400,16
36500,17
36600,16
36700,16
36800,19
36900,17
37000,17
37100,18
37200,17
37300,18
37400,20
37500,18
37600,18
37700,17
37800,17
37900,17
38000,17
38100,18
38200,16
38300,18
38400,17
38500,17
38600,18
38700,16
38800,17
38900,16
39000,16
39100,18
39200,17
39300,15
39400,18
39500,19
39600,19
39700,17
39800,17
39900,17
40000,15
40100,15
40200,18
40300,18
40400,18
40500,17
40600,17
40700,17
40800,18
40900,19
41000,20
41100,19
41200,19
41300,16
41400,14
